Day,Day Focus,Order,Exercise,Set Type,Target Sets x Reps,Primary Muscle,Secondary Muscle,Progression Cue,Demo/Tutorial Link,W1 Weight (kg),W1 Reps,W2 Weight (kg),W2 Reps,W3 Weight (kg),W3 Reps,W4 Weight (kg),W4 Reps,Notes
Day 4,Legs - Quads,7,Standing Calf Raise,Pyramid,4 sets: 20/15/12/10 reps,Calves,,Add weight to top set at 10 reps,https://www.youtube.com/results?search_query=standing+calf+raise+tutorial,,,,,,,,,Gastrocnemius
Day 4,Legs - Quads,8,Seated Calf Raise,Normal,3x15,Calves,,Add weight once 3x15,https://www.youtube.com/results?search_query=seated+calf+raise+tutorial,,,,,,,,,Soleus
Day 5,Arms & Abs,1,Close-Grip Bench Press,Pyramid,4 sets: 12/10/8/6 reps,Triceps,Chest,Add 2.5kg to top set at 6 reps,https://www.youtube.com/results?search_query=close+grip+bench+press+tutorial,,,,,,,,,Triceps mass
Day 5,Arms & Abs,2,Barbell Curl,Pyramid,4 sets: 12/10/8/6 reps,Biceps,Forearms,Add 1-2kg to top set at 6 reps,https://www.youtube.com/results?search_query=barbell+curl+tutorial,,,,,,,,,Biceps mass
Day 5,Arms & Abs,3,Skull Crushers + Diamond Push-ups (Superset),Superset,3x12 each,Triceps,Chest,Add weight once both hit 12,https://www.youtube.com/results?search_query=skull+crushers+diamond+push+ups+superset+tutorial,,,,,,,,,Long head
Day 5,Arms & Abs,4,Preacher Curl + Cable Curl (Superset),Superset,3x12 each,Biceps,,Add weight once both hit 12,https://www.youtube.com/results?search_query=preacher+curl+cable+curl+superset+tutorial,,,,,,,,,Peak
Day 5,Arms & Abs,5,Overhead Cable Tricep Extension,Normal,3x12,Triceps,,Add weight once 3x12,https://www.youtube.com/results?search_query=overhead+cable+tricep+extension+tutorial,,,,,,,,,Long head stretch
Day 5,Arms & Abs,6,Incline DB Curl,Normal,3x12,Biceps,,Add weight once 3x12,https://www.youtube.com/results?search_query=incline+db+curl+tutorial,,,,,,,,,Long head
Day 5,Arms & Abs,7,Rope Pushdown,Normal,3x15,Triceps,,Add weight once 3x15,https://www.youtube.com/results?search_query=rope+pushdown+tutorial,,,,,,,,,Lateral head
Day 5,Arms & Abs,8,Hammer Curl,Normal,3x12,Biceps; Forearms,,Add weight once 3x12,https://www.youtube.com/results?search_query=hammer+curl+tutorial,,,,,,,,,Brachialis
Day 5,Arms & Abs,9,Wrist Curl + Reverse Wrist Curl (Superset),Superset,3x15 each,Forearms,,Add weight once both hit 15,https://www.youtube.com/results?search_query=wrist+curl+reverse+wrist+curl+superset+tutorial,,,,,,,,,Forearm flex + extend
Day 6,Legs - Hamstrings/Glutes + Conditioning,1,Romanian Deadlift,Pyramid,4 sets: 12/10/8/6 reps,Hamstrings; Glutes,Lower Back,Add 2.5kg once 6 reps clean with full stretch,https://www.youtube.com/results?search_query=romanian+deadlift+tutorial,,,,,,,,,Hip hinge
Day 6,Legs - Hamstrings/Glutes + Conditioning,2,Lying Leg Curl,Normal,4x12,Hamstrings,,Add weight once 4x12,https://www.youtube.com/results?search_query=lying+leg+curl+tutorial,,,,,,,,,Knee flexion
Day 6,Legs - Hamstrings/Glutes + Conditioning,3,Seated Leg Curl,Normal,3x15,Hamstrings,,Add weight once 3x15,https://www.youtube.com/results?search_query=seated+leg+curl+tutorial,,,,,,,,,Different angle
Day 6,Legs - Hamstrings/Glutes + Conditioning,4,Barbell Hip Thrust,Normal,4x12,Glutes,Hamstrings,Add weight once 4x12,https://www.youtube.com/results?search_query=barbell+hip+thrust+tutorial,,,,,,,,,Glute drive
Day 6,Legs - Hamstrings/Glutes + Conditioning,5,Bulgarian Split Squat,Normal,3x10 per leg,Glutes; Quads,Hamstrings,Add DB once 3x10 per leg,https://www.youtube.com/results?search_query=bulgarian+split+squat+tutorial,,,,,,,,,Glute stretch
Day 6,Legs - Hamstrings/Glutes + Conditioning,6,Cable Pull-Through,Normal,3x15,Glutes,Hamstrings,Add weight once 3x15,https://www.youtube.com/results?search_query=cable+pull+through+tutorial,,,,,,,,,Hip hinge isolation
Day 6,Legs - Hamstrings/Glutes + Conditioning,7,Back Extension (Good Morning style),Normal,3x15,Lower Back; Glutes,Hamstrings,Add plate once 3x15,https://www.youtube.com/results?search_query=back+extension+good+morning+style+tutorial,,,,,,,,,Posterior chain
Day 6,Legs - Hamstrings/Glutes + Conditioning,8,Standing Calf Raise,Normal,4x20,Calves,,Add weight once 4x20,https://www.youtube.com/results?search_query=standing+calf+raise+tutorial,,,,,,,,,Calves
Day 6,Legs - Hamstrings/Glutes + Conditioning,9,Incline Treadmill Walk,Conditioning,15-20 min steady pace at 12-15% incline,Cardio; Glutes,Calves,Increase incline or duration by 2-3 min per week,https://www.youtube.com/results?search_query=incline+treadmill+walk+tutorial,,,,,,,,,Recovery cardio
Day 7,Rest / Active Recovery,1,Light Stretching / Foam Rolling / 20-30 min Walk,Recovery,As needed,Full Body,,No lifting - prioritize sleep and protein intake,https://www.youtube.com/results?search_query=light+stretching+foam+rolling+20+30+min+walk+tutorial,,,,,,,,,Muscle growth happens during recovery
